POmtg542_1:1	sorry	FI(FI)	sorry
POmtg542_10:16	agencies	NNS(NNS)	agency
POmtg542_10:17	to	TO(TO)	to
POmtg542_10:18	be	VB(VB)	be
POmtg542_10:19	able	JJ(JJ)	able
POmtg542_10:20	to	TO(TO)	to
POmtg542_10:21	handle	VV(VV)	handle
POmtg542_10:22	the	DT(DT)	the
POmtg542_10:23	secretariat	NN(NN)	secretariat
POmtg542_10:24	of	IN(IN)	of
POmtg542_10:25	such	PDT(PDT)	such
POmtg542_10:26	a	DT(DT)	a
POmtg542_10:27	review	NN(NN)	review
POmtg542_10:28	because	IN(IN)	because
POmtg542_10:29	by	IN(IN)	by
POmtg542_10:30	all	DT(DT)	all
POmtg542_10:31	means	NNS(NNS)	mean
POmtg542_10:32	that	DT(DT)	that
POmtg542_10:33	's	VBS(VBS)	be
POmtg542_10:34	the	DT(DT)	the
POmtg542_10:35	most	RBS(RBS)	most
POmtg542_10:36	practical	JJ(JJ)	practical
POmtg542_10:37	er	UH(UH)	er
POmtg542_10:38	way	NN(NN)	way
POmtg542_10:39	o-	XX(XX)	
POmtg542_10:40	of	IN(IN)	of
POmtg542_10:41	doing	VVG(VVG)	do
POmtg542_10:42	it	PP(PP)	it
POmtg542_10:43	_0	PA(PA)	

POmtg542_11:1	mhm	RE(RE)	mhm

POmtg542_12:1	and	CC(CC)	and
POmtg542_12:2	_1	PA(PA)	
POmtg542_12:3	terms	NNS(NNS)	term
POmtg542_12:4	of	NNS(NNS)	of
POmtg542_12:5	reference	NNS(NNS)	reference
POmtg542_12:6	_0	PA(PA)	
POmtg542_12:7	then	RB(RB)	then
POmtg542_12:8	i	PP(PP)	i
POmtg542_12:9	think	VVP(VVP)	think
POmtg542_12:10	perhaps	RB(RB)	perhaps
POmtg542_12:11	in	IN(IN)	in
POmtg542_12:12	a	DT(DT)	a
POmtg542_12:13	national	JJ(JJ)	national
POmtg542_12:14	that	DT(DT)	that
POmtg542_12:15	should	MD(MD)	shall
POmtg542_12:16	_0	PA(PA)	
POmtg542_12:17	at	RB(RB)	at
POmtg542_12:18	least	RB(RB)	least
POmtg542_12:19	be	VB(VB)	be
POmtg542_12:20	cleared	VVN(VVN)	clear
POmtg542_12:21	by	IN(IN)	by
POmtg542_12:22	the	DT(DT)	the
POmtg542_12:23	government	NN(NN)	government
POmtg542_12:24	but	CC(CC)	but
POmtg542_12:25	the	DT(DT)	the
POmtg542_12:26	the	DT(DT)	the
POmtg542_12:27	the	DT(DT)	the
POmtg542_12:28	government	NN(NN)	government
POmtg542_12:29	will	MD(MD)	will
POmtg542_12:30	often	RB(RB)	often
POmtg542_12:31	have	VH(VH)	have
POmtg542_12:32	an	DT(DT)	a
POmtg542_12:33	expectation	NN(NN)	expectation
POmtg542_12:34	as	IN(IN)	as
POmtg542_12:35	to	IN(IN)	to
POmtg542_12:36	what	WP(WP)	what
POmtg542_12:37	_0	PA(PA)	
POmtg542_12:38	sort	NN(NN)	sort
POmtg542_12:39	of	IN(IN)	of
POmtg542_12:40	value	NN(NN)	value
POmtg542_12:41	for	IN(IN)	for
POmtg542_12:42	money	NN(NN)	money
POmtg542_12:43	er	UH(UH)	er
POmtg542_12:44	implication	NN(NN)	implication
POmtg542_12:45	there	EX(EX)	there
POmtg542_12:46	is	VBZ(VBZ)	be
POmtg542_12:47	so	DM(DM)	so
POmtg542_12:48	that	DT(DT)	that
POmtg542_12:49	's	VBS(VBS)	be
POmtg542_12:50	why	WRB(WRB)	why
POmtg542_12:51	i	PP(PP)	i
POmtg542_12:52	put	VVP(VVP)	put
POmtg542_12:53	er	UH(UH)	er
POmtg542_12:54	adopt	VVP(VVP)	adopt
POmtg542_12:55	with	IN(IN)	with
POmtg542_12:56	the	DT(DT)	the
POmtg542_12:57	government	NN(NN)	government
POmtg542_12:58	there	RB(RB)	there
POmtg542_12:59	_0	PA(PA)	
POmtg542_12:60	protocol	NN(NN)	protocol
POmtg542_12:61	for	IN(IN)	for
POmtg542_12:62	p_self-evaluation	PVC(NN)	
POmtg542_12:63	_0	PA(PA)	
POmtg542_12:64	it	PP(PP)	it
POmtg542_12:65	could	MD(MD)	can
POmtg542_12:66	be	VB(VB)	be
POmtg542_12:67	a	DT(DT)	a
POmtg542_12:68	national	JJ(JJ)	national
POmtg542_12:69	_0	PA(PA)	
POmtg542_12:70	we	PP(PP)	we
POmtg542_12:71	would	MD(MD)	will
POmtg542_12:72	advise	VV(VV)	advise
POmtg542_12:73	of	RB(RB)	of
POmtg542_12:74	course	RB(RB)	course
POmtg542_12:75	that	IN(IN)	that
POmtg542_12:76	they	PP(PP)	they
POmtg542_12:77	take	VVP(VVP)	take
POmtg542_12:78	this	DT(DT)	this
POmtg542_12:79	a_[org1]	NP(NP)	
POmtg542_12:80	_0	PA(PA)	
POmtg542_12:81	protocol	NN(NN)	protocol
POmtg542_12:82	which	PRE(PRE)	which
POmtg542_12:83	we	PP(PP)	we
POmtg542_12:84	come	VVP(VVP)	come
POmtg542_12:85	up	RP(RP)	up
POmtg542_12:86	and	CC(CC)	and
POmtg542_12:87	which	PRE(PRE)	which
POmtg542_12:88	_0	PA(PA)	
POmtg542_12:89	is	VBZ(VBZ)	be
POmtg542_12:90	linked	VVN(VVN)	link
POmtg542_12:91	to	IN(IN)	to
POmtg542_12:92	our	PP$(PP$)	we
POmtg542_12:93	membership	NNS(NNS)	membership
POmtg542_12:94	criteria	NNS(NNS)	criterion
POmtg542_12:95	_1	PA(PA)	

POmtg542_13:1	mhm	RE(RE)	mhm

POmtg542_14:1	nomination	NN(NN)	nomination
POmtg542_14:2	of	IN(IN)	of
POmtg542_14:3	experts	NNS(NNS)	expert
POmtg542_14:4	i	PP(PP)	i
POmtg542_14:5	think	VVP(VVP)	think
POmtg542_14:6	_0	PA(PA)	
POmtg542_14:7	a	DT(DT)	a
POmtg542_14:8	national	JJ(JJ)	national
POmtg542_14:9	agency	NN(NN)	agency
POmtg542_14:10	could	MD(MD)	can
POmtg542_14:11	co-	XX(XX)	
POmtg542_14:12	come	VV(VV)	come
POmtg542_14:13	up	RP(RP)	up
POmtg542_14:14	with	IN(IN)	with
POmtg542_14:15	their	PP$(PP$)	they
POmtg542_14:16	own	JJ(JJ)	own
POmtg542_14:17	nominations	NNS(NNS)	nomination
POmtg542_14:18	governments	NNS(NNS)	government
POmtg542_14:19	_0	PA(PA)	
POmtg542_14:20	and	CC(CC)	and
POmtg542_14:21	a_[org1]	NP(NP)	
POmtg542_14:22	and	CC(CC)	and
POmtg542_14:23	this	DT(DT)	this
POmtg542_14:24	_0	PA(PA)	
POmtg542_14:25	european	JJ(JJ)	european
POmtg542_14:26	quality	NN(NN)	quality
POmtg542_14:27	platform	NN(NN)	platform
POmtg542_14:28	could	MD(MD)	can
POmtg542_14:29	come	VV(VV)	come
POmtg542_14:30	up	RP(RP)	up
POmtg542_14:31	xxx	UNI(UNI)	
POmtg542_14:32	but	CC(CC)	but
POmtg542_14:33	appointment	NN(NN)	appointment
POmtg542_14:34	of	IN(IN)	of
POmtg542_14:35	the	DT(DT)	the
POmtg542_14:36	experts	NNS(NNS)	expert
POmtg542_14:37	must	MD(MD)	must
POmtg542_14:38	_0	PA(PA)	
POmtg542_14:39	it	PP(PP)	it
POmtg542_14:40	c-	XX(XX)	
POmtg542_14:41	can	MD(MD)	can
POmtg542_14:42	not	RB(RB)	not
POmtg542_14:43	be	VB(VB)	be
POmtg542_14:44	the	DT(DT)	the
POmtg542_14:45	agency	NN(NN)	agency
POmtg542_14:46	itself	PP(PP)	it
POmtg542_14:47	_0	PA(PA)	
POmtg542_14:48	that	DT(DT)	that
POmtg542_14:49	would	MD(MD)	will
POmtg542_14:50	n't	RB(RB)	not
POmtg542_14:51	be	VB(VB)	be
POmtg542_14:52	created	VVN(VVN)	create
POmtg542_14:53	but	CC(CC)	but
POmtg542_14:54	so	DM(DM)	so
POmtg542_14:55	either	CC(CC)	either
POmtg542_14:56	government	NN(NN)	government
POmtg542_14:57	or	CC(CC)	or
POmtg542_14:58	a_[org1]	NP(NP)	
POmtg542_14:59	_0	PA(PA)	
POmtg542_14:60	that	DT(DT)	that
POmtg542_14:61	is	VBZ(VBZ)	be
POmtg542_14:62	_1	PA(PA)	
POmtg542_14:63	my	PP$(PP$)	i
POmtg542_14:64	advice	NN(NN)	advice
POmtg542_14:65	_0	PA(PA)	
POmtg542_14:66	would	MD(MD)	will
POmtg542_14:67	probably	RB(RB)	probably
POmtg542_14:68	in	IN(IN)	in
POmtg542_14:69	most	JJS(JJS)	most
POmtg542_14:70	cases	NNS(NNS)	case
POmtg542_14:71	be	VB(VB)	be
POmtg542_14:72	a_[org1]	NP(NP)	
POmtg542_14:73	on	IN(IN)	on
POmtg542_14:74	you	PP(DM)	you
POmtg542_14:75	know	VVP(DM)	know
POmtg542_14:76	_0	PA(PA)	
POmtg542_14:77	receiver	NN(NN)	receiver
POmtg542_14:78	of	IN(IN)	of
POmtg542_14:79	the	DT(DT)	the
POmtg542_14:80	report	NN(NN)	report
POmtg542_14:81	_0	PA(PA)	
POmtg542_14:82	government	NN(NN)	government
POmtg542_14:83	and	CC(CC)	and
POmtg542_14:84	a_[org1]	NP(NP)	
POmtg542_14:85	and	CC(CC)	and
POmtg542_14:86	_0	PA(PA)	
POmtg542_14:87	the	DT(DT)	the
POmtg542_14:88	a_[org4]	NP(NP)	
POmtg542_14:89	in	IN(IN)	in
POmtg542_14:90	this	DT(DT)	this
POmtg542_14:91	new	JJ(JJ)	new
POmtg542_14:92	construction	NN(NN)	construction
POmtg542_14:93	_0	PA(PA)	
POmtg542_14:94	comments	NNS(NNS)	comment
POmtg542_14:95	on	IN(IN)	on
POmtg542_14:96	the	DT(DT)	the
POmtg542_14:97	report	NN(NN)	report
POmtg542_14:98	from	IN(IN)	from
POmtg542_14:99	the	DT(DT)	the
POmtg542_14:100	same	JJ(JJ)	same
POmtg542_14:101	three	CD(CD)	three
POmtg542_14:102	_0	PA(PA)	
POmtg542_14:103	and	CC(CC)	and
POmtg542_14:104	then	RB(RB)	then
POmtg542_14:105	a-	XX(XX)	
POmtg542_14:106	as	IN(IN)	as
POmtg542_14:107	court	NN(NN)	court
POmtg542_14:108	of	NN(NN)	of
POmtg542_14:109	appeal	NN(NN)	appeal
POmtg542_14:110	this	DT(DT)	this
POmtg542_14:111	_0	PA(PA)	
POmtg542_14:112	specif-	XX(XX)	
POmtg542_14:113	no	RE(RE)	no
POmtg542_14:114	responsible	JJ(JJ)	responsible
POmtg542_14:115	for	IN(IN)	for
POmtg542_14:116	follow-up	NN(NN)	follow-up
POmtg542_14:117	of	RB(RB)	of
POmtg542_14:118	course	RB(RB)	course
POmtg542_14:119	would	MD(MD)	will
POmtg542_14:120	be	VB(VB)	be
POmtg542_14:121	government	NN(NN)	government
POmtg542_14:122	and	CC(CC)	and
POmtg542_14:123	a_[org1]	NP(NP)	
POmtg542_14:124	_1	PA(PA)	
POmtg542_14:125	and	CC(CC)	and
POmtg542_14:126	then	RB(RB)	then
POmtg542_14:127	court	NN(NN)	court
POmtg542_14:128	of	NN(NN)	of
POmtg542_14:129	appeal	NN(NN)	appeal
POmtg542_14:130	would	MD(MD)	will
POmtg542_14:131	be	VB(VB)	be
POmtg542_14:132	er	UH(UH)	er
POmtg542_14:133	the	DT(DT)	the
POmtg542_14:134	a_[org4]	NP(NP)	
POmtg542_14:135	_0	PA(PA)	
POmtg542_14:136	so	DM(DM)	so
POmtg542_14:137	_1	PA(PA)	
POmtg542_14:138	it	PP(PP)	it
POmtg542_14:139	's	VBS(VBS)	be
POmtg542_14:140	my	PP$(PP$)	i
POmtg542_14:141	best	JJS(JJS)	good
POmtg542_14:142	attempt	NN(NN)	attempt
POmtg542_14:143	to	TO(TO)	to
POmtg542_14:144	set	VV(VV)	set
POmtg542_14:145	up	RP(RP)	up
POmtg542_14:146	something	NN(NN)	something
POmtg542_14:147	which	PRE(PRE)	which
POmtg542_14:148	_1	PA(PA)	
POmtg542_14:149	as	IN(IN)	as
POmtg542_14:150	i	PP(PP)	i
POmtg542_14:151	said	VVD(VVD)	say
POmtg542_14:152	_0	PA(PA)	
POmtg542_14:153	could	MD(MD)	can
POmtg542_14:154	_0	PA(PA)	
POmtg542_14:155	fulfil	VV(VV)	fulfil
POmtg542_14:156	the	DT(DT)	the
POmtg542_14:157	need	NN(NN)	need
POmtg542_14:158	for	IN(IN)	for
POmtg542_14:159	both	CC(CC)	both
POmtg542_14:160	being	VBG(VBG)	be
POmtg542_14:161	workable	JJ(JJ)	workable
POmtg542_14:162	and	CC(CC)	and
POmtg542_14:163	_0	PA(PA)	
POmtg542_14:164	and	CC(CC)	and
POmtg542_14:165	credible	JJ(JJ)	credible
POmtg542_14:166	_2	PA(PA)	

POmtg542_15:1	it	PP(PP)	it
POmtg542_15:2	's	VBS(VBS)	be
POmtg542_15:3	okay	JJ(JJ)	okay

POmtg542_16:1	so	DM(DM)	so
POmtg542_16:2	what	WP(WP)	what
POmtg542_16:3	do	VVP(VVP)	do
POmtg542_16:4	you	PP(PP)	you
POmtg542_16:5	think	VV(VV)	think
POmtg542_16:6	_0	PA(PA)	
POmtg542_16:7	i	PP(DM)	i
POmtg542_16:8	mean	VVP(DM)	mean
POmtg542_16:9	of	RB(RB)	of
POmtg542_16:10	course	RB(RB)	course
POmtg542_16:11	this	DT(DT)	this
POmtg542_16:12	needs	VVZ(VVZ)	need
POmtg542_16:13	a	DT(DT)	a
POmtg542_16:14	lo-	XX(XX)	
POmtg542_16:15	s-	XX(XX)	
POmtg542_16:16	_0	PA(PA)	
POmtg542_16:17	quite	PDT(PDT)	quite
POmtg542_16:18	a	DT(DT)	a
POmtg542_16:19	number	NN(NN)	number
POmtg542_16:20	of	IN(IN)	of
POmtg542_16:21	words	NNS(NNS)	word
POmtg542_16:22	_0	PA(PA)	
POmtg542_16:23	but	CC(CC)	but
POmtg542_16:24	m-	XX(XX)	
POmtg542_16:25	_0	PA(PA)	
POmtg542_16:26	i	PP(PP)	i
POmtg542_16:27	made	VVD(VVD)	make
POmtg542_16:28	it	PP(PP)	it
POmtg542_16:29	like	IN(IN)	like
POmtg542_16:30	this	DT(DT)	this
POmtg542_16:31	just	RB(RB)	just
POmtg542_16:32	to	TO(TO)	to
POmtg542_16:33	have	VH(VH)	have
POmtg542_16:34	_0	PA(PA)	
POmtg542_16:35	an	DT(DT)	a
POmtg542_16:36	idea	NN(NN)	idea
POmtg542_16:37	as	IN(IN)	as
POmtg542_16:38	to	IN(IN)	to
POmtg542_16:39	whether	IN(IN)	whether
POmtg542_16:40	you	PP(PP)	you
POmtg542_16:41	_1	PA(PA)	
POmtg542_16:42	could	MD(MD)	can
POmtg542_16:43	agree	VV(VV)	agree
POmtg542_16:44	on	IN(IN)	on
POmtg542_16:45	the	DT(DT)	the
POmtg542_16:46	the	DT(DT)	the
POmtg542_16:47	basic	JJ(JJ)	basic
POmtg542_16:48	_0	PA(PA)	
POmtg542_16:49	division	NN(NN)	division
POmtg542_16:50	of	IN(IN)	of
POmtg542_16:51	labor	NN(NN)	labor
POmtg542_16:52	_0	PA(PA)	

POmtg542_17:1	er	UH(UH)	er
POmtg542_17:2	erm	UH(UH)	erm
POmtg542_17:3	the	DT(DT)	the
POmtg542_17:4	receiver	NN(NN)	receiver
POmtg542_17:5	of	IN(IN)	of
POmtg542_17:6	the	DT(DT)	the
POmtg542_17:7	report	NN(NN)	report
POmtg542_17:8	should	MD(MD)	shall
POmtg542_17:9	be	VB(VB)	be
POmtg542_17:10	the	DT(DT)	the
POmtg542_17:11	agency	NN(NN)	agency
POmtg542_17:12	too	RB(RB)	too
POmtg542_17:13	because	IN(IN)	because
POmtg542_17:14	m-	XX(XX)	
POmtg542_17:15	basically	RB(RB)	basically
POmtg542_17:16	_1	PA(PA)	
POmtg542_17:17	erm	UH(UH)	erm
POmtg542_17:18	they	PP(PP)	they
POmtg542_17:19	are	VBP(VBP)	be
POmtg542_17:20	the	DT(DT)	the
POmtg542_17:21	_1	PA(PA)	
POmtg542_17:22	the	DT(DT)	the
POmtg542_17:23	object	NN(NN)	object
POmtg542_17:24	of	IN(IN)	of
POmtg542_17:25	investigation	NN(NN)	investigation
POmtg542_17:26	so	DM(DM)	so
POmtg542_17:27	_1	PA(PA)	

POmtg542_18:1	well	DM(DM)	well
POmtg542_18:2	that	DT(DT)	that
POmtg542_18:3	's	VBS(VBS)	be
POmtg542_18:4	a	DT(DT)	a
POmtg542_18:5	good	JJ(JJ)	good
POmtg542_18:6	very	RB(RB)	very
POmtg542_18:7	good	JJ(JJ)	good
POmtg542_18:8	_0	PA(PA)	

POmtg542_19:1	they	PP(PP)	they
POmtg542_19:2	shou-	XX(XX)	

POmtg542_20:1	it	PP(PP)	it
POmtg542_20:2	's	VBS(VBS)	be
POmtg542_20:3	part	NN(NN)	part
POmtg542_20:4	of	IN(IN)	of
POmtg542_20:5	internal	JJ(JJ)	internal
POmtg542_20:6	quality	NN(NN)	quality
POmtg542_20:7	assurance	NN(NN)	assurance
POmtg542_20:8	actually	RB(RB)	actually
POmtg542_20:9	yes	RE(RE)	yes
POmtg542_20:10	_1	PA(PA)	

POmtg542_21:1	the	DT(DT)	the

POmtg542_22:1	i	PP(PP)	i
POmtg542_22:2	i	PP(PP)	i
POmtg542_22:3	i	PP(PP)	i
POmtg542_22:4	take	VVP(VVP)	take
POmtg542_22:5	that	DT(DT)	that
POmtg542_22:6	one	NN(NN)	one
POmtg542_22:7	_2	PA(PA)	
POmtg542_22:8	er	UH(UH)	er
POmtg542_22:9	by	IN(IN)	by
POmtg542_22:10	consequence	NN(NN)	consequence
POmtg542_22:11	they	PP(PP)	they
POmtg542_22:12	go	VVP(VVP)	go
POmtg542_22:13	down	RB(RB)	down
POmtg542_22:14	in	IN(IN)	in
POmtg542_22:15	the	DT(DT)	the
POmtg542_22:16	a_[org1]	NP(NP)	
POmtg542_22:17	_0	PA(PA)	
POmtg542_22:18	model	NN(NN)	model
POmtg542_22:19	as	RB(RB)	as
POmtg542_22:20	well	RB(RB)	well
POmtg542_22:21	hh	BR(BR)	
POmtg542_22:22	hh	BR(BR)	
POmtg542_22:23	_0	PA(PA)	
POmtg542_22:24	well	DM(DM)	well
POmtg542_22:25	look	VV(VV)	look
POmtg542_22:26	_0	PA(PA)	
POmtg542_22:27	i	PP(DM)	i
POmtg542_22:28	mean	VVP(DM)	mean
POmtg542_22:29	you	PP(PP)	you
POmtg542_22:30	're	VBP(VBP)	be
POmtg542_22:31	welcome	VV(VV)	welcome
POmtg542_22:32	to	TO(TO)	to
POmtg542_22:33	throw	VV(VV)	throw
POmtg542_22:34	this	DT(DT)	this
POmtg542_22:35	up	RB(RB)	up
POmtg542_22:36	and	CC(CC)	and
POmtg542_22:37	down	RB(RB)	down
POmtg542_22:38	er	UH(UH)	er
POmtg542_22:39	no	DT(DT)	no
POmtg542_22:40	problem	NN(NN)	problem
POmtg542_22:41	_0	PA(PA)	

POmtg542_23:1	and	CC(CC)	and
POmtg542_23:2	again	RB(RB)	again
POmtg542_23:3	er	UH(UH)	er
POmtg542_23:4	about	IN(IN)	about

POmtg542_24:1	@@@@@	LA(LA)	

POmtg542_25:1	yeah	RE(RE)	yeah
POmtg542_25:2	i	PP(PP)	i
POmtg542_25:3	know	VVP(VVP)	know

POmtg542_26:1	well	DM(DM)	well

POmtg542_27:1	just	RB(RB)	just
POmtg542_27:2	again	RB(RB)	again
POmtg542_27:3	the	DT(DT)	the
POmtg542_27:4	how	WRB(WRB)	how
POmtg542_27:5	about	IN(IN)	about
POmtg542_27:6	the	DT(DT)	the
POmtg542_27:7	comments	NNS(NNS)	comment
POmtg542_27:8	on	IN(IN)	on
POmtg542_27:9	the	DT(DT)	the
POmtg542_27:10	report	NN(NN)	report
POmtg542_27:11	_0	PA(PA)	
POmtg542_27:12	can	MD(MD)	can
POmtg542_27:13	the	DT(DT)	the
POmtg542_27:14	agency	NN(NN)	agency

POmtg542_28:1	yes	RE(RE)	yes

POmtg542_29:1	or	CC(CC)	or
POmtg542_29:2	may	MD(MD)	may

POmtg542_30:1	i	PP(PP)	i
POmtg542_30:2	think	VVP(VVP)	think
POmtg542_30:3	_0	PA(PA)	

POmtg542_31:1	yeah	RE(RE)	yeah
POmtg542_31:2	but	CC(CC)	but

POmtg542_32:1	yes	RE(RE)	yes
POmtg542_32:2	but	CC(CC)	but
POmtg542_32:3	tha-	XX(XX)	
POmtg542_32:4	that	DT(DT)	that
POmtg542_32:5	's	VBS(VBS)	be
POmtg542_32:6	not	RB(RB)	not
POmtg542_32:7	_0	PA(PA)	
POmtg542_32:8	ooph	UH(UH)	ooph
POmtg542_32:9	_0	PA(PA)	
POmtg542_32:10	but	CC(CC)	but
POmtg542_32:11	that	DT(DT)	that
POmtg542_32:12	's	VBS(VBS)	be
POmtg542_32:13	because	IN(IN)	because
POmtg542_32:14	i	PP(PP)	i
POmtg542_32:15	in	IN(IN)	in
POmtg542_32:16	my	PP$(PP$)	i
POmtg542_32:17	we	PP(PP)	we
POmtg542_32:18	are	VBP(VBP)	be
POmtg542_32:19	all	DT(DT)	all
POmtg542_32:20	victims	NNS(NNS)	victim
POmtg542_32:21	of	IN(IN)	of
POmtg542_32:22	our	PP$(PP$)	we
POmtg542_32:23	national	JJ(JJ)	national
POmtg542_32:24	procedures	NNS(NNS)	procedure
POmtg542_32:25	@@@	LA(LA)	
POmtg542_32:26	and	CC(CC)	and
POmtg542_32:27	er	UH(UH)	er
POmtg542_32:28	i-	XX(XX)	
POmtg542_32:29	we	PP(PP)	we
POmtg542_32:30	have	VHP(VHP)	have
POmtg542_32:31	a	DT(DT)	a
POmtg542_32:32	s-	XX(XX)	
POmtg542_32:33	_0	PA(PA)	

POmtg542_33:1	@@@@	LA(LA)	

POmtg542_34:1	indicator	NN(NN)	indicator
POmtg542_34:2	we	PP(PP)	we
POmtg542_34:3	have	VHP(VHP)	have
POmtg542_34:4	a	DT(DT)	a
POmtg542_34:5	t-	XX(XX)	
POmtg542_34:6	clear	JJ(JJ)	clear
POmtg542_34:7	distinction	NN(NN)	distinction
POmtg542_34:8	between	IN(IN)	between
POmtg542_34:9	the	DT(DT)	the
