POwgd449_1:1	language	NN(NN)	language
POwgd449_36:5	_0	PA(PA)	

POwgd449_37:1	identify	VV(VV)	identify

POwgd449_38:1	it	PP(PP)	it
POwgd449_38:2	's	VBS(VBS)	be
POwgd449_38:3	no	RE(RE)	no
POwgd449_38:4	define	VV(VV)	define

POwgd449_39:1	identity	NN(NN)	identity

POwgd449_40:1	the	DT(DT)	the
POwgd449_40:2	one	NN(NN)	one
POwgd449_40:3	food	NN(NN)	food
POwgd449_40:4	three	CD(CD)	three
POwgd449_40:5	nights	NNS(NNS)	night
POwgd449_40:6	_1	PA(PA)	

POwgd449_41:1	it	PP(PP)	it
POwgd449_41:2	's	VBS(VBS)	be
POwgd449_41:3	not	RB(RB)	not
POwgd449_41:4	identi-	XX(XX)	
POwgd449_41:5	it	PP(PP)	it
POwgd449_41:6	_1	PA(PA)	
POwgd449_41:7	this	DT(DT)	this
POwgd449_41:8	side	NN(NN)	side

POwgd449_42:1	define	VV(VV)/VVP(VVP)	define

POwgd449_43:1	this	DT(DT)	this
POwgd449_43:2	side	NN(NN)	side
POwgd449_43:3	wo	MD(MD)	will
POwgd449_43:4	n't	RB(RB)	not
POwgd449_43:5	this	DT(DT)	this
POwgd449_43:6	side	NN(NN)	side
POwgd449_43:7	wo	MD(MD)	will
POwgd449_43:8	n't	RB(RB)	not
POwgd449_43:9	define	VV(VV)	define
POwgd449_43:10	your	PP$(PP$)	you
POwgd449_43:11	_0	PA(PA)	

POwgd449_44:1	define	VV(VV)	define

POwgd449_45:1	aim	NN(NN)	aim
POwgd449_45:2	_1	PA(PA)	

POwgd449_46:1	your	PP$(PP$)	you
POwgd449_46:2	aim	NN(NN)	aim

POwgd449_47:1	the	DT(DT)	the
POwgd449_47:2	aim	NN(NN)	aim
POwgd449_47:3	of	IN(IN)	of
POwgd449_47:4	the	DT(DT)	the
POwgd449_47:5	activity	NN(NN)	activity
POwgd449_47:6	and	CC(CC)	and
POwgd449_47:7	_0	PA(PA)	
POwgd449_47:8	well	DM(DM)	well

POwgd449_48:1	yeah	RE(RE)	yeah

POwgd449_49:1	take	VV(VV)	take
POwgd449_49:2	it	PP(PP)	it
POwgd449_49:3	into	IN(IN)	into
POwgd449_49:4	account	NN(NN)	account
POwgd449_49:5	when	WRB(WRB)	when
POwgd449_49:6	you	PP(PP)	you
POwgd449_49:7	are	VBP(VBP)	be
POwgd449_49:8	_0	PA(PA)	
POwgd449_49:9	preparing	VVG(VVG)	prepare

POwgd449_50:1	it	PP(PP)	it
POwgd449_50:2	is	VBZ(VBZ)	be
POwgd449_50:3	it	PP(PP)	it
POwgd449_50:4	is	VBZ(VBZ)	be
POwgd449_50:5	already	RB(RB)	already
POwgd449_50:6	_2	PA(PA)	
POwgd449_50:7	identity	NN(NN)	identity
POwgd449_50:8	_0	PA(PA)	
POwgd449_50:9	you	PP(PP)	you
POwgd449_50:10	can	MD(MD)	can
POwgd449_50:11	understand	VV(VV)	understand
POwgd449_50:12	_18	PA(PA)	

POwgd449_51:1	so	DM(DM)	so
POwgd449_51:2	we	PP(PP)	we
POwgd449_51:3	have	VHP(VHP)	have
POwgd449_51:4	the	DT(DT)	the
POwgd449_51:5	aim	NN(NN)	aim
POwgd449_51:6	_0	PA(PA)	
POwgd449_51:7	the	DT(DT)	the
POwgd449_51:8	people	NNS(NNS)	people
POwgd449_51:9	involved	VVN(VVN)	involve
POwgd449_51:10	_0	PA(PA)	
POwgd449_51:11	the	DT(DT)	the
POwgd449_51:12	place	NN(NN)	place
POwgd449_51:13	_2	PA(PA)	
POwgd449_51:14	where	WRB(WRB)	where
POwgd449_51:15	and	CC(CC)	and
POwgd449_51:16	why	WRB(WRB)	why

POwgd449_52:1	no	RE(RE)	no
POwgd449_52:2	i	PP(PP)	i
POwgd449_52:3	think	VVP(VVP)	think
POwgd449_52:4	step	NN(NN)	step
POwgd449_52:5	by	IN(IN)	by
POwgd449_52:6	step	NN(NN)	step
POwgd449_52:7	with	IN(IN)	with
POwgd449_52:8	all	DT(DT)	all
POwgd449_52:9	activities	NNS(NNS)	activity
POwgd449_52:10	everything	NN(NN)	everything
POwgd449_52:11	is	VBZ(VBZ)	be
POwgd449_52:12	done	VVN(VVN)	do
POwgd449_52:13	there	RB(RB)	there
POwgd449_52:14	you	PP(DM)	you
POwgd449_52:15	know	VVP(DM)	know
POwgd449_52:16	you	PP(DM)	you
POwgd449_52:17	know	VVP(DM)	know
POwgd449_52:18	you	PP(PP)	you
POwgd449_52:19	do	VVP(VVP)	do
POwgd449_52:20	n't	RB(RB)	not
POwgd449_52:21	have	VH(VH)	have
POwgd449_52:22	to	TO(TO)	to
POwgd449_52:23	put	VV(VV)	put
POwgd449_52:24	that	DT(DT)	that
POwgd449_52:25	right	DM(DM)	right

POwgd449_53:1	how	WRB(WRB)	how

POwgd449_54:1	yeah	RE(RE)	yeah
POwgd449_54:2	but	CC(CC)	but
POwgd449_54:3	it	PP(PP)	it
POwgd449_54:4	's	VBS(VBS)	be
POwgd449_54:5	very	RB(RB)	very
POwgd449_54:6	general	JJ(JJ)	general
POwgd449_54:7	_0	PA(PA)	
POwgd449_54:8	but	CC(CC)	but
POwgd449_54:9	it	PP(PP)	it
POwgd449_54:10	's	VBS(VBS)	be
POwgd449_54:11	very	RB(RB)	very
POwgd449_54:12	general	JJ(JJ)	general

POwgd449_55:1	the	DT(DT)	the
POwgd449_55:2	rank	NN(NN)	rank
POwgd449_55:3	and	CC(CC)	and
POwgd449_55:4	the	DT(DT)	the
POwgd449_55:5	place	NN(NN)	place
POwgd449_55:6	you	PP(DM)	you
POwgd449_55:7	know	VVP(DM)	know
POwgd449_55:8	the	DT(DT)	the
POwgd449_55:9	xxx	UNI(UNI)	
POwgd449_55:10	xx	UNI(UNI)	

POwgd449_56:1	well	DM(DM)	well
POwgd449_56:2	it	PP(PP)	it
POwgd449_56:3	has	VHZ(VHZ)	have
POwgd449_56:4	to	TO(TO)	to
POwgd449_56:5	be	VB(VB)	be
POwgd449_56:6	general	JJ(JJ)	general
POwgd449_56:7	because	IN(IN)	because
POwgd449_56:8	if	IN(IN)	if
POwgd449_56:9	this	DT(DT)	this
POwgd449_56:10	has	VHZ(VHZ)	have
POwgd449_56:11	to	TO(TO)	to
POwgd449_56:12	be	VB(VB)	be
POwgd449_56:13	for	IN(IN)	for
POwgd449_56:14	_0	PA(PA)	

POwgd449_57:1	yeah	RE(RE)	yeah
POwgd449_57:2	yeah	RE(RE)	yeah
POwgd449_57:3	yeah	RE(RE)	yeah
POwgd449_57:4	but	CC(CC)	but

POwgd449_58:1	different	JJ(JJ)	different
POwgd449_58:2	and	CC(CC)	and

POwgd449_59:1	yeah	RE(RE)	yeah
POwgd449_59:2	but	CC(CC)	but
POwgd449_59:3	you	PP(PP)	you
POwgd449_59:4	have	VHP(VHP)	have
POwgd449_59:5	to	TO(TO)	to
POwgd449_59:6	have	VH(VH)	have

POwgd449_60:1	is	VBZ(VBZ)	be
POwgd449_60:2	n't	RB(RB)	not
POwgd449_60:3	it	PP(PP)	it

POwgd449_61:1	five	CD(CD)	five
POwgd449_61:2	six	CD(CD)	six
POwgd449_61:3	seven	CD(CD)	seven
POwgd449_61:4	eight	CD(CD)	eight

POwgd449_62:1	no	RE(RE)	no
POwgd449_62:2	we	PP(PP)	we
POwgd449_62:3	only	RB(RB)	only
POwgd449_62:4	have	VHP(VHP)	have
POwgd449_62:5	five	CD(CD)	five

POwgd449_63:1	yeah	RE(RE)	yeah
POwgd449_63:2	yeah	RE(RE)	yeah
POwgd449_63:3	i	PP(PP)	i
POwgd449_63:4	know	VVP(VVP)	know
POwgd449_63:5	_1	PA(PA)	

POwgd449_64:1	yah	RE(RE)	yah
POwgd449_64:2	two	CD(CD)	two
POwgd449_64:3	_0	PA(PA)	
POwgd449_64:4	that	IN(IN)	that
POwgd449_64:5	this	DT(DT)	this
POwgd449_64:6	will	MD(MD)	will
POwgd449_64:7	be	VB(VB)	be
POwgd449_64:8	important	JJ(JJ)	important
POwgd449_64:9	for	IN(IN)	for
POwgd449_64:10	you	PP(PP)	you

POwgd449_65:1	but	CC(CC)	but
POwgd449_65:2	one	CD(CD)	one
POwgd449_65:3	two	CD(CD)	two
POwgd449_65:4	three	CD(CD)	three
POwgd449_65:5	are	VBP(VBP)	be
POwgd449_65:6	almost	RB(RB)	almost
POwgd449_65:7	_0	PA(PA)	
POwgd449_65:8	the	DT(DT)	the
POwgd449_65:9	same	NN(NN)	same
POwgd449_65:10	_0	PA(PA)	
POwgd449_65:11	in	IN(IN)	in
POwgd449_65:12	fact	NN(NN)	fact

POwgd449_66:1	you	PP(PP)	you
POwgd449_66:2	think	VVP(VVP)	think
POwgd449_66:3	so	RB(RB)	so
POwgd449_66:4	_0	PA(PA)	

POwgd449_67:1	so	DM(DM)	so
POwgd449_67:2	well-informed	JJ(JJ)	well-informed
POwgd449_67:3	team	NN(NN)	team
POwgd449_67:4	_0	PA(PA)	
POwgd449_67:5	so	DM(DM)	so
POwgd449_67:6	why	WRB(WRB)	why

POwgd449_68:1	that	DT(DT)	that
POwgd449_68:2	's	VBS(VBS)	be
POwgd449_68:3	totally	RB(RB)	totally
POwgd449_68:4	different	JJ(JJ)	different
POwgd449_68:5	_0	PA(PA)	
POwgd449_68:6	is	VBZ(VBZ)	be
POwgd449_68:7	n't	RB(RB)	not
POwgd449_68:8	it	PP(PP)	it

POwgd449_69:1	yeah	RE(RE)	yeah

POwgd449_70:1	well-informed	JJ(JJ)	well-informed
POwgd449_70:2	means	VVZ(VVZ)	mean

POwgd449_71:1	are	VBP(VBP)	be
POwgd449_71:2	you	PP(PP)	you
POwgd449_71:3	getting	VVG(VVG)	get
POwgd449_71:4	on	IN(IN)	on

POwgd449_72:1	about	IN(IN)	about
POwgd449_72:2	what	WP(WP)	what

POwgd449_73:1	yeah	RE(RE)	yeah
POwgd449_73:2	yeah	RE(RE)	yeah

POwgd449_74:1	what	WP(WP)	what
POwgd449_74:2	we	PP(PP)	we
POwgd449_74:3	are	VBP(VBP)	be
POwgd449_74:4	doing	VVG(VVG)	do
POwgd449_74:5	_0	PA(PA)	
POwgd449_74:6	the	DT(DT)	the
POwgd449_74:7	aim	NN(NN)	aim
POwgd449_74:8	is	VBZ(VBZ)	be
POwgd449_74:9	there	RB(RB)	there

POwgd449_75:1	yeah	RE(RE)	yeah
POwgd449_75:2	yeah	RE(RE)	yeah
POwgd449_75:3	but	CC(CC)	but
POwgd449_75:4	that	DT(DT)	that
POwgd449_75:5	's	VBS(VBS)	be
POwgd449_75:6	about	IN(IN)	about
POwgd449_75:7	your	PP$(PP$)	you
POwgd449_75:8	team	NN(NN)	team
POwgd449_75:9	_2	PA(PA)	

POwgd449_76:1	in	IN(IN)	in
POwgd449_76:2	a	DT(DT)	a
POwgd449_76:3	way	NN(NN)	way
POwgd449_76:4	inform	VV(VV)	inform
POwgd449_76:5	people	NNS(NNS)	people
POwgd449_76:6	about	IN(IN)	about
POwgd449_76:7	what	WP(WP)	what
POwgd449_76:8	we	PP(PP)	we
POwgd449_76:9	are	VBP(VBP)	be
POwgd449_76:10	doing	VVG(VVG)	do
POwgd449_76:11	_2	PA(PA)	

POwgd449_77:1	yes	RE(RE)	yes
POwgd449_77:2	_1	PA(PA)	

POwgd449_78:1	so	DM(DM)	so
POwgd449_78:2	i	PP(PP)	i
POwgd449_78:3	tell	VVP(VVP)	tell
POwgd449_78:4	you	PP(PP)	you

POwgd449_79:1	that	DT(DT)	that
POwgd449_79:2	's	VBS(VBS)	be
POwgd449_79:3	a	DT(DT)	a
POwgd449_79:4	di-	XX(XX)	
POwgd449_79:5	that	DT(DT)	that
POwgd449_79:6	's	VBS(VBS)	be
POwgd449_79:7	a	DT(DT)	a
POwgd449_79:8	different	JJ(JJ)	different
POwgd449_79:9	thing	NN(NN)	thing
POwgd449_79:10	than	IN(IN)	than
POwgd449_79:11	than	IN(IN)	than
POwgd449_79:12	than	IN(IN)	than
POwgd449_79:13	defining	VVG(VVG)	define
POwgd449_79:14	your	PP$(PP$)	you
POwgd449_79:15	aim	NN(NN)	aim
POwgd449_79:16	_3	PA(PA)	

POwgd449_80:1	very	RB(RB)	very
POwgd449_80:2	_0	PA(PA)	
POwgd449_80:3	very	RB(RB)	very
POwgd449_80:4	x	UNI(UNI)	
POwgd449_80:5	x	UNI(UNI)	
POwgd449_80:6	x	UNI(UNI)	
POwgd449_80:7	i	PP(PP)	i
POwgd449_80:8	do	VVP(VVP)	do
POwgd449_80:9	n't	RB(RB)	not
POwgd449_80:10	know	VV(VV)	know
POwgd449_80:11	but	CC(CC)	but
POwgd449_80:12	it	PP(PP)	it
POwgd449_80:13	's	VBS(VBS)	be
POwgd449_80:14	in	IN(IN)	in
POwgd449_80:15	so	RB(RB)	so
POwgd449_80:16	many	JJ(JJ)	many

POwgd449_81:1	that	DT(DT)	that
POwgd449_81:2	's	VBS(VBS)	be
POwgd449_81:3	that	DT(DT)	that
POwgd449_81:4	's	VBS(VBS)	be
POwgd449_81:5	a	RB(RB)	a
POwgd449_81:6	bit	RB(RB)	bit
POwgd449_81:7	in	IN(IN)	in
POwgd449_81:8	within	IN(IN)	within
POwgd449_81:9	your	PP$(PP$)	you

POwgd449_82:1	yeah	RE(RE)	yeah

POwgd449_83:1	your	PP$(PP$)	you
POwgd449_83:2	_0	PA(PA)	
POwgd449_83:3	step-by-step	JJ(JJ)	step-by-step
POwgd449_83:4	plan	NN(NN)	plan
POwgd449_83:5	that	PRE(PRE)	that
POwgd449_83:6	you	PP(PP)	you
POwgd449_83:7	need	VVP(VVP)	need
POwgd449_83:8	to	TO(TO)	to

POwgd449_84:1	of	RB(RB)	of
POwgd449_84:2	course	RB(RB)	course
POwgd449_84:3	so	DM(DM)	so
POwgd449_84:4	_0	PA(PA)	
POwgd449_84:5	i	PP(PP)	i
POwgd449_84:6	think	VVP(VVP)	think

POwgd449_85:1	identify	VV(VV)	identify
POwgd449_85:2	who	WP(WP)	who
POwgd449_85:3	needs	VVZ(VVZ)	need
POwgd449_85:4	to	TO(TO)	to
POwgd449_85:5	do	VV(VV)	do
POwgd449_85:6	what	WP(WP)	what
POwgd449_85:7	and	CC(CC)	and

POwgd449_86:1	i	PP(PP)	i
POwgd449_86:2	like	VVP(VVP)	like
POwgd449_86:3	this	DT(DT)	this
POwgd449_86:4	sharing	VVG(NN)	share/sharing
POwgd449_86:5	what	WP(WP)	what
POwgd449_86:6	's	VBS(VBS)	be
POwgd449_86:7	difficult	JJ(JJ)	difficult

POwgd449_87:1	yeah	RE(RE)	yeah
POwgd449_87:2	but	CC(CC)	but
POwgd449_87:3	i	PP(PP)	i
POwgd449_87:4	think	VVP(VVP)	think
POwgd449_87:5	yeah	RE(RE)	yeah
POwgd449_87:6	it	PP(PP)	it
POwgd449_87:7	's	VBS(VBS)	be
POwgd449_87:8	a	RB(RB)	a
POwgd449_87:9	little	RB(RB)	little
POwgd449_87:10	bit	RB(RB)	bit
POwgd449_87:11	you	PP(PP)	you
POwgd449_87:12	really	RB(RB)	really
POwgd449_87:13	feel	VVP(VVP)	feel
POwgd449_87:14	that	IN(IN)	that
POwgd449_87:15	they	PP(PP)	they
POwgd449_87:16	have	VHP(VHP)	have
POwgd449_87:17	to	TO(TO)	to
POwgd449_87:18	put	VV(VV)	put
POwgd449_87:19	everything	NN(NN)	everything

POwgd449_88:1	no	RE(RE)	no

POwgd449_89:1	you	PP(DM)	you
POwgd449_89:2	know	VVP(DM)	know

POwgd449_90:1	no	RE(RE)	no
POwgd449_90:2	_2	PA(PA)	

POwgd449_91:1	otherwise	RB(RB)	otherwise
POwgd449_91:2	you	PP(PP)	you
POwgd449_91:3	choose	VVP(VVP)	choose
POwgd449_91:4	the	DT(DT)	the
POwgd449_91:5	language	NN(NN)	language
POwgd449_91:6	that	PRE(PRE)	that
POwgd449_91:7	just	RB(RB)	just
POwgd449_91:8	xx	UNI(UNI)	
POwgd449_91:9	advantage	NN(NN)	advantage
POwgd449_91:10	is	VBZ(VBZ)	be
POwgd449_91:11	the	DT(DT)	the
POwgd449_91:12	you	PP(DM)	you
POwgd449_91:13	know	VVP(DM)	know
POwgd449_91:14	_0	PA(PA)	

POwgd449_92:1	close	JJ(JJ)	close
POwgd449_92:2	but	CC(CC)	but

POwgd449_93:1	it	PP(PP)	it
POwgd449_93:2	's	VBS(VBS)	be
POwgd449_93:3	repeating	VVG(VVG)	repeat
POwgd449_93:4	all	PDT(PDT)	all
POwgd449_93:5	the	DT(DT)	the
POwgd449_93:6	time	NN(NN)	time

POwgd449_94:1	oh	UH(UH)	oh

POwgd449_95:1	xxx	UNI(UNI)	
POwgd449_95:2	wanted	VVD(VVD)	want
POwgd449_95:3	to	TO(TO)	to
POwgd449_95:4	tell	VV(VV)	tell
POwgd449_95:5	_0	PA(PA)	
POwgd449_95:6	you	PP(PP)	you

POwgd449_96:1	yeah	RE(RE)	yeah
POwgd449_96:2	yeah	RE(RE)	yeah
POwgd449_96:3	yeah	RE(RE)	yeah
POwgd449_96:4	_0	PA(PA)	
POwgd449_96:5	i	PP(PP)	i
POwgd449_96:6	x	UNI(UNI)	
POwgd449_96:7	need	VVP(VVP)	need
POwgd449_96:8	to	TO(TO)	to
POwgd449_96:9	_0	PA(PA)	
POwgd449_96:10	tell	VV(VV)	tell
POwgd449_96:11	her	PP(PP)	she
POwgd449_96:12	to	TO(TO)	to
POwgd449_96:13	do	VV(VV)	do
POwgd449_96:14	that	DT(DT)	that

POwgd449_97:1	sorry	FI(FI)	sorry
POwgd449_97:2	to	TO(TO)	to
POwgd449_97:3	ask	VV(VV)	ask
POwgd449_97:4	you	PP(PP)	you
POwgd449_97:5	to	TO(TO)	to
POwgd449_97:6	do	VV(VV)	do
POwgd449_97:7	that	DT(DT)	that
POwgd449_97:8	@@@	LA(LA)	

POwgd449_98:1	no	RE(RE)	no
POwgd449_98:2	no	RE(RE)	no
POwgd449_98:3	no	RE(RE)	no
POwgd449_98:4	no	RE(RE)	no
POwgd449_98:5	but	CC(CC)	but
POwgd449_98:6	she	PP(PP)	she
