POprc465_1:1	xx	UNI(UNI)	
POprc465_3:269	_0	PA(PA)	
POprc465_3:270	immediately	RB(RB)	immediately
POprc465_3:271	we	PP(PP)	we
POprc465_3:272	will	MD(MD)	will
POprc465_3:273	certainly	RB(RB)	certainly
POprc465_3:274	follow	VV(VV)	follow
POprc465_3:275	closely	RB(RB)	closely
POprc465_3:276	_0	PA(PA)	
POprc465_3:277	the	DT(DT)	the
POprc465_3:278	implementation	NN(NN)	implementation
POprc465_3:279	of	IN(IN)	of
POprc465_3:280	the	DT(DT)	the
POprc465_3:281	plan	NN(NN)	plan
POprc465_3:282	in	IN(IN)	in
POprc465_3:283	coordination	NN(NN)	coordination
POprc465_3:284	with	IN(IN)	with
POprc465_3:285	the	DT(DT)	the
POprc465_3:286	_0	PA(PA)	
POprc465_3:287	icty	NP(NP)	icty
POprc465_3:288	_0	PA(PA)	
POprc465_3:289	hh	BR(BR)	
POprc465_3:290	this	DT(DT)	this
POprc465_3:291	is	VBZ(VBZ)	be
POprc465_3:292	now	RB(RB)	now
POprc465_3:293	opening	VVG(VVG)	open
POprc465_3:294	the	DT(DT)	the
POprc465_3:295	way	NN(NN)	way
POprc465_3:296	_0	PA(PA)	
POprc465_3:297	for	IN(IN)	for
POprc465_3:298	er	UH(UH)	er
POprc465_3:299	er	UH(UH)	er
POprc465_3:300	_1	PA(PA)	
POprc465_3:301	the	DT(DT)	the
POprc465_3:302	full	JJ(JJ)	full
POprc465_3:303	cooperation	NN(NN)	cooperation
POprc465_3:304	with	IN(IN)	with
POprc465_3:305	icty	NP(NP)	icty
POprc465_3:306	_0	PA(PA)	
POprc465_3:307	that	IN(IN)	that
POprc465_3:308	the	DT(DT)	the
POprc465_3:309	_0	PA(PA)	
POprc465_3:310	negotiations	NNS(NNS)	negotiation
POprc465_3:311	for	IN(IN)	for
POprc465_3:312	_0	PA(PA)	
POprc465_3:313	and	CC(CC)	and
POprc465_3:314	a	DT(DT)	a
POprc465_3:315	stabilization	NN(NN)	stabilization
POprc465_3:316	and	CC(CC)	and
POprc465_3:317	association	NN(NN)	association
POprc465_3:318	agreement	NN(NN)	agreement
POprc465_3:319	er	UH(UH)	er
POprc465_3:320	_0	PA(PA)	
POprc465_3:321	er	UH(UH)	er
POprc465_3:322	that	PRE(PRE)	that
POprc465_3:323	we	PP(PP)	we
POprc465_3:324	started	VVD(VVD)	start
POprc465_3:325	with	IN(IN)	with
POprc465_3:326	serbia	NP(NP)	serbia
POprc465_3:327	can	MD(MD)	can
POprc465_3:328	be	VB(VB)	be
POprc465_3:329	resumed	VVN(VVN)	resume
POprc465_3:330	_0	PA(PA)	
POprc465_3:331	and	CC(CC)	and
POprc465_3:332	er	UH(UH)	er
POprc465_3:333	thus	RB(RB)	thus
POprc465_3:334	er	UH(UH)	er
POprc465_3:335	er	UH(UH)	er
POprc465_3:336	_0	PA(PA)	
POprc465_3:337	facilitates	VVZ(VVZ)	facilitate
POprc465_3:338	_0	PA(PA)	
POprc465_3:339	serbia	NP(NP)	serbia
POprc465_3:340	's	POS(POS)	's
POprc465_3:341	er	UH(UH)	er
POprc465_3:342	hh	BR(BR)	
POprc465_3:343	er	UH(UH)	er
POprc465_3:344	way	NN(NN)	way
POprc465_3:345	towards	IN(IN)	towards
POprc465_3:346	the	DT(DT)	the
POprc465_3:347	_0	PA(PA)	
POprc465_3:348	european	NP(NP)	european
POprc465_3:349	_0	PA(PA)	
POprc465_3:350	union	NP(NP)	union
POprc465_3:351	_0	PA(PA)	
POprc465_3:352	hh	BR(BR)	
POprc465_3:353	the	DT(DT)	the
POprc465_3:354	discussion	NN(NN)	discussion
POprc465_3:355	on	IN(IN)	on
POprc465_3:356	s_eu	NP(NP)	s_eu
POprc465_3:357	serbia	NP(NP)	serbia
POprc465_3:358	relations	NNS(NNS)	relation
POprc465_3:359	er	UH(UH)	er
POprc465_3:360	_0	PA(PA)	
POprc465_3:361	underlined	VVN(VVN)	underline
POprc465_3:362	from	IN(IN)	from
POprc465_3:363	all	DT(DT)	all
POprc465_3:364	er	UH(UH)	er
POprc465_3:365	of	IN(IN)	of
POprc465_3:366	our	PP$(PP$)	we
POprc465_3:367	side	NN(NN)	side
POprc465_3:368	er	UH(UH)	er
POprc465_3:369	from	IN(IN)	from
POprc465_3:370	the	DT(DT)	the
POprc465_3:371	european	NP(NP)	european
POprc465_3:372	union	NP(NP)	union
POprc465_3:373	hh	BR(BR)	
POprc465_3:374	are	VBP(VBP)	be
POprc465_3:375	commitment	NN(NN)	commitment
POprc465_3:376	_1	PA(PA)	
POprc465_3:377	to	TO(TO)	to
POprc465_3:378	keeping	VVG(VVG)	keep
POprc465_3:379	open	JJ(JJ)	open
POprc465_3:380	_0	PA(PA)	
POprc465_3:381	the	DT(DT)	the
POprc465_3:382	european	JJ(JJ)	european
POprc465_3:383	perspective	NN(NN)	perspective
POprc465_3:384	_0	PA(PA)	
POprc465_3:385	for	IN(IN)	for
POprc465_3:386	serbia	NP(NP)	serbia
POprc465_3:387	_1	PA(PA)	
POprc465_3:388	we	PP(PP)	we
POprc465_3:389	stress	VVP(VVP)	stress
POprc465_3:390	the	DT(DT)	the
POprc465_3:391	importance	NN(NN)	importance
POprc465_3:392	of	IN(IN)	of
POprc465_3:393	serbia	NP(NP)	serbia
POprc465_3:394	_0	PA(PA)	
POprc465_3:395	for	IN(IN)	for
POprc465_3:396	us	PP(PP)	we
POprc465_3:397	_0	PA(PA)	
POprc465_3:398	as	IN(IN)	as
POprc465_3:399	a	DT(DT)	a
POprc465_3:400	partner	NN(NN)	partner
POprc465_3:401	_0	PA(PA)	
POprc465_3:402	and	CC(CC)	and
POprc465_3:403	our	PP$(PP$)	we
POprc465_3:404	_0	PA(PA)	
POprc465_3:405	willingness	NN(NN)	willingness
POprc465_3:406	er	UH(UH)	er
POprc465_3:407	to	TO(TO)	to
POprc465_3:408	cooperate	VV(VV)	cooperate
POprc465_3:409	with	IN(IN)	with
POprc465_3:410	serbia	NP(NP)	serbia
POprc465_3:411	_0	PA(PA)	
POprc465_3:412	in	IN(IN)	in
POprc465_3:413	facilitating	VVG(VVG)	facilitate
POprc465_3:414	its	PP$(PP$)	it
POprc465_3:415	er	UH(UH)	er
POprc465_3:416	_0	PA(PA)	
POprc465_3:417	way	NN(NN)	way
POprc465_3:418	towards	IN(IN)	towards
POprc465_3:419	erm	UH(UH)	erm
POprc465_3:420	a	DT(DT)	a
POprc465_3:421	europe	NP(NP)	europe
POprc465_3:422	_0	PA(PA)	
POprc465_3:423	this	DT(DT)	this
POprc465_3:424	includes	VVZ(VVZ)	include
POprc465_3:425	er	UH(UH)	er
POprc465_3:426	items	NNS(NNS)	item
POprc465_3:427	which	PRE(PRE)	which
POprc465_3:428	we	PP(PP)	we
POprc465_3:429	will	MD(MD)	will
POprc465_3:430	_0	PA(PA)	
POprc465_3:431	negotiate	VV(VV)	negotiate
POprc465_3:432	on	IN(IN)	on
POprc465_3:433	er	UH(UH)	er
POprc465_3:434	such	IN(IN)	such
POprc465_3:435	as	IN(IN)	as
POprc465_3:436	visa	NNS(NNS)	visum
POprc465_3:437	facilitation	NN(NN)	facilitation
POprc465_3:438	_0	PA(PA)	
POprc465_3:439	establishment	NN(NN)	establishment
POprc465_3:440	of	IN(IN)	of
POprc465_3:441	regional	JJ(JJ)	regional
POprc465_3:442	free	NN(NN)	free
POprc465_3:443	trade	NN(NN)	trade
POprc465_3:444	area	NN(NN)	area
POprc465_3:445	_0	PA(PA)	
POprc465_3:446	financial	JJ(JJ)/JJ(RB)	financial
POprc465_3:447	support	NN(NN)/VV(VV)	support
POprc465_3:448	er	UH(UH)	er
POprc465_3:449	er	UH(UH)	er
POprc465_3:450	serbia	NP(NP)	serbia
POprc465_3:451	_0	PA(PA)	
POprc465_3:452	such	IN(IN)	such
POprc465_3:453	as	IN(IN)	as
POprc465_3:454	instruments	NNS(NNS)	instrument
POprc465_3:455	for	IN(IN)	for
POprc465_3:456	p_pre-accession	PVC(NN)	
POprc465_3:457	_0	PA(PA)	
POprc465_3:458	er	UH(UH)	er
POprc465_3:459	and	CC(CC)	and
POprc465_3:460	other	JJ(JJ)	other
POprc465_3:461	items	NNS(NNS)	item
POprc465_3:462	_0	PA(PA)	
POprc465_3:463	and	CC(CC)	and
POprc465_3:464	_0	PA(PA)	
POprc465_3:465	we	PP(PP)	we
POprc465_3:466	look	VVP(VVP)	look
POprc465_3:467	forward	RB(RB)	forward
POprc465_3:468	to	TO(TO)	to
POprc465_3:469	continuing	VVG(VVG)	continue
POprc465_3:470	the	DT(DT)	the
POprc465_3:471	_0	PA(PA)	
POprc465_3:472	enhanced	JJ(JJ)	enhanced
POprc465_3:473	dialogue	NN(NN)	dialogue
POprc465_3:474	that	PRE(PRE)	that
POprc465_3:475	er	UH(UH)	er
POprc465_3:476	we	PP(PP)	we
POprc465_3:477	have	VHP(VHP)	have
POprc465_3:478	today	RB(RB)	today
POprc465_3:479	started	VVN(VVN)	start
POprc465_3:480	with	IN(IN)	with
POprc465_3:481	serbia	NP(NP)	serbia
POprc465_3:482	_0	PA(PA)	
POprc465_3:483	to	TO(TO)	to
POprc465_3:484	support	VV(VV)	support
POprc465_3:485	it	PP(PP)	it
POprc465_3:486	on	IN(IN)	on
POprc465_3:487	its	PP$(PP$)	it
POprc465_3:488	er	UH(UH)	er
POprc465_3:489	european	JJ(JJ)	european
POprc465_3:490	course	NN(NN)	course
POprc465_3:491	hh	BR(BR)	
POprc465_3:492	and	CC(CC)	and
POprc465_3:493	er	UH(UH)	er
POprc465_3:494	er	UH(UH)	er
POprc465_3:495	the	DT(DT)	the
POprc465_3:496	_0	PA(PA)	
POprc465_3:497	as	IN(IN)	as
POprc465_3:498	a	DT(DT)	a
POprc465_3:499	concrete	JJ(JJ)	concrete
POprc465_3:500	measure	NN(NN)	measure
POprc465_3:501	_0	PA(PA)	
POprc465_3:502	we	PP(PP)	we
POprc465_3:503	as	IN(IN)	as
POprc465_3:504	the	DT(DT)	the
POprc465_3:505	presidency	NN(NN)	presidency
POprc465_3:506	are	VBP(VBP)	be
POprc465_3:507	ready	JJ(JJ)	ready
POprc465_3:508	to	TO(TO)	to
POprc465_3:509	proceed	VV(VV)	proceed
POprc465_3:510	quickly	RB(RB)	quickly
POprc465_3:511	with	IN(IN)	with
POprc465_3:512	visa	NNS(NNS)	visum
POprc465_3:513	facilitation	NN(NN)	facilitation
POprc465_3:514	_0	PA(PA)	
POprc465_3:515	and	CC(CC)	and
POprc465_3:516	readmission	NN(NN)	readmission
POprc465_3:517	_0	PA(PA)	
POprc465_3:518	er	UH(UH)	er
POprc465_3:519	negotiations	NNS(NNS)	negotiation
POprc465_3:520	_0	PA(PA)	
POprc465_3:521	hh	BR(BR)	
POprc465_3:522	_1	PA(PA)	
POprc465_3:523	thank	FI(FI)	thank
POprc465_3:524	you	FI(FI)	you
POprc465_3:525	_5	PA(PA)	

POprc465_4:1	to	IN(IN)	to
POprc465_4:2	prime	NN(NN)	prime
POprc465_4:3	minister	NN(NN)	minister

POprc465_5:1	er	UH(UH)	er
POprc465_5:2	_0	PA(PA)	
POprc465_5:3	thank	FI(FI)	thank
POprc465_5:4	you	FI(FI)	you
POprc465_5:5	very	RB(RB)	very
POprc465_5:6	much	RB(RB)	much
POprc465_5:7	er	UH(UH)	er
POprc465_5:8	hh	BR(BR)	
POprc465_5:9	ladies	NNS(NNS)	lady
POprc465_5:10	and	CC(CC)	and
POprc465_5:11	gentlemen	NNS(NNS)	gentleman
POprc465_5:12	as	IN(IN)	as
POprc465_5:13	you	PP(PP)	you
POprc465_5:14	know	VVP(VVP)	know
POprc465_5:15	er	UH(UH)	er
POprc465_5:16	serbia	NP(NP)	serbia
POprc465_5:17	started	VVD(VVD)	start
POprc465_5:18	er	UH(UH)	er
POprc465_5:19	at	IN(IN)	at
POprc465_5:20	that	DT(DT)	that
POprc465_5:21	moment	NN(NN)	moment
POprc465_5:22	together	RB(RB)	together
POprc465_5:23	with	IN(IN)	with
POprc465_5:24	montenegro	NP(NP)	montenegro
POprc465_5:25	started	VVD(VVD)	start
POprc465_5:26	on	IN(IN)	on
POprc465_5:27	october	NP(NP)	october
POprc465_5:28	two	CD(CD)	two
POprc465_5:29	thousand	CD(CD)	thousand
POprc465_5:30	five	CD(CD)	five
POprc465_5:31	its	PP$(PP$)	it
POprc465_5:32	negotiations	NNS(NNS)	negotiation
POprc465_5:33	for	IN(IN)	for
POprc465_5:34	stabilization	NN(NN)	stabilization
POprc465_5:35	and	CC(CC)	and
POprc465_5:36	association	NN(NN)	association
POprc465_5:37	agreement	NN(NN)	agreement
POprc465_5:38	hh	BR(BR)	
POprc465_5:39	er	UH(UH)	er
POprc465_5:40	it	PP(PP)	it
POprc465_5:41	was	VBD(VBD)	be
POprc465_5:42	er	UH(UH)	er
POprc465_5:43	those	DT(DT)	those
POprc465_5:44	were	VBD(VBD)	be
POprc465_5:45	more	RBR(RBR)	more
POprc465_5:46	than	IN(IN)	than
POprc465_5:47	er	UH(UH)	er
POprc465_5:48	successful	JJ(JJ)	successful
POprc465_5:49	er	UH(UH)	er
POprc465_5:50	negotiations	NNS(NNS)	negotiation
POprc465_5:51	er	UH(UH)	er
POprc465_5:52	_0	PA(PA)	
POprc465_5:53	they	PP(PP)	they
POprc465_5:54	were	VBD(VBD)	be
POprc465_5:55	in	IN(IN)	in
POprc465_5:56	line	NN(NN)	line
POprc465_5:57	with	IN(IN)	with
POprc465_5:58	something	NN(NN)	something
POprc465_5:59	that	PRE(PRE)	that
POprc465_5:60	has	VHZ(VBD)	have/be
POprc465_5:61	from	IN(IN)	from
POprc465_5:62	the	DT(DT)	the
POprc465_5:63	very	JJ(JJ)	very
POprc465_5:64	beginning	VVG(NN)	begin/beginning
POprc465_5:65	proclaimed	VVN(VVN)	proclaim
POprc465_5:66	and	CC(CC)	and
POprc465_5:67	was	VBD(VBD)	be
POprc465_5:68	erm	UH(UH)	erm
POprc465_5:69	er	UH(UH)	er
POprc465_5:70	supported	VVN(VVN)	support
POprc465_5:71	by	IN(IN)	by
POprc465_5:72	the	DT(DT)	the
POprc465_5:73	hh	BR(BR)	
POprc465_5:74	_0	PA(PA)	
POprc465_5:75	er	UH(UH)	er
POprc465_5:76	people	NNS(NNS)	people
POprc465_5:77	of	IN(IN)	of
POprc465_5:78	serbia	NP(NP)	serbia
POprc465_5:79	_0	PA(PA)	
POprc465_5:80	at	IN(IN)	at
POprc465_5:81	large	NN(NN)	large
POprc465_5:82	er	UH(UH)	er
POprc465_5:83	since	IN(IN)	since
POprc465_5:84	_0	PA(PA)	
POprc465_5:85	october	NP(NP)	october
POprc465_5:86	changes	NNS(NNS)	change
POprc465_5:87	in	IN(IN)	in
POprc465_5:88	two	CD(CD)	two
POprc465_5:89	thousand	CD(CD)	thousand
POprc465_5:90	_0	PA(PA)	
POprc465_5:91	if	IN(IN)	if
POprc465_5:92	there	EX(EX)	there
POprc465_5:93	is	VBZ(VBZ)	be
POprc465_5:94	something	NN(NN)	something
POprc465_5:95	that	PRE(PRE)	that
POprc465_5:96	is	VBZ(VBZ)	be
POprc465_5:97	a	DT(DT)	a
POprc465_5:98	symbol	NN(NN)	symbol
