POmtg316_1:1	let	VV(VV)	let
POmtg316_6:1	@@@	LA(LA)	

POmtg316_7:1	@	LA(LA)	

POmtg316_8:1	maybe	RB(RB)	maybe
POmtg316_8:2	you	PP(PP)	you
POmtg316_8:3	should	MD(MD)	shall
POmtg316_8:4	speak	VV(VV)	speak
POmtg316_8:5	slower	RBR(RBR)	slow

POmtg316_9:1	no	RE(RE)	no
POmtg316_9:2	no	RE(RE)	no
POmtg316_9:3	no	RE(RE)	no
POmtg316_9:4	that	DT(DT)	that
POmtg316_9:5	's	VBS(VBS)	be
POmtg316_9:6	o-	XX(XX)	
POmtg316_9:7	that	DT(DT)	that
POmtg316_9:8	's	VBS(VBS)	be
POmtg316_9:9	okay	JJ(JJ)	okay
POmtg316_9:10	x	UNI(UNI)	

POmtg316_10:1	okay	RE(RE)	okay

POmtg316_11:1	and	CC(CC)	and
POmtg316_11:2	finally	RB(RB)	finally
POmtg316_11:3	finally	RB(RB)	finally

POmtg316_12:1	@@@@	LA(LA)	

POmtg316_13:1	@@@@	LA(LA)	
POmtg316_13:2	@	LA(LA)	
POmtg316_13:3	_0	PA(PA)	

POmtg316_14:1	at	IN(IN)	at
POmtg316_14:2	er	UH(UH)	er
POmtg316_14:3	at	IN(IN)	at
POmtg316_14:4	the	DT(DT)	the
POmtg316_14:5	time	NN(NN)	time
POmtg316_14:6	being	VBG(VBG)	be
POmtg316_14:7	because	IN(IN)	because
POmtg316_14:8	the	DT(DT)	the
POmtg316_14:9	list	NN(NN)	list
POmtg316_14:10	is	VBZ(VBZ)	be
POmtg316_14:11	not	RB(RB)	not
POmtg316_14:12	going	VVG(VVG)	go
POmtg316_14:13	to	TO(TO)	to
POmtg316_14:14	be	VB(VB)	be
POmtg316_14:15	er	UH(UH)	er
POmtg316_14:16	complete	JJ(JJ)	complete
POmtg316_14:17	_2	PA(PA)	
POmtg316_14:18	before	IN(IN)	before
POmtg316_14:19	i	PP(PP)	i
POmtg316_14:20	do	VVP(VVP)	do
POmtg316_14:21	n't	RB(RB)	not
POmtg316_14:22	know	VV(VV)	know
POmtg316_14:23	the	DT(DT)	the
POmtg316_14:24	next	JJ(JJ)	next
POmtg316_14:25	two	CD(CD)	two
POmtg316_14:26	or	CC(CC)	or
POmtg316_14:27	three	CD(CD)	three
POmtg316_14:28	months	NNS(NNS)	month
POmtg316_14:29	_1	PA(PA)	
POmtg316_14:30	how	WRB(WRB)	how
POmtg316_14:31	are	VBP(VBP)	be
POmtg316_14:32	you	PP(PP)	you
POmtg316_14:33	_1	PA(PA)	
POmtg316_14:34	we	PP(PP)	we
POmtg316_14:35	the	DT(DT)	the
POmtg316_14:36	th-	XX(XX)	
POmtg316_14:37	the	DT(DT)	the
POmtg316_14:38	_1	PA(PA)	
POmtg316_14:39	the	DT(DT)	the
POmtg316_14:40	consortium	NN(NN)	consortium
POmtg316_14:41	how	WRB(WRB)	how
POmtg316_14:42	are	VBP(VBP)	be
POmtg316_14:43	you	PP(PP)	you
POmtg316_14:44	going	VVG(VVG)	go
POmtg316_14:45	to	TO(TO)	to
POmtg316_14:46	contribute	VV(VV)	contribute
POmtg316_14:47	_0	PA(PA)	
POmtg316_14:48	to	IN(IN)	to
POmtg316_14:49	the	DT(DT)	the
POmtg316_14:50	erm	UH(UH)	erm
POmtg316_14:51	to	IN(IN)	to
POmtg316_14:52	the	DT(DT)	the
POmtg316_14:53	er	UH(UH)	er
POmtg316_14:54	execution	NN(NN)	execution
POmtg316_14:55	of	IN(IN)	of
POmtg316_14:56	the	DT(DT)	the
POmtg316_14:57	program	NN(NN)	program
POmtg316_14:58	_0	PA(PA)	
POmtg316_14:59	that	DT(DT)	that
POmtg316_14:60	is	VBZ(VBZ)	be
POmtg316_14:61	how	WRB(WRB)	how
POmtg316_14:62	the	DT(DT)	the
POmtg316_14:63	expertise	NN(NN)	expertise
POmtg316_14:64	is	VBZ(VBZ)	be
POmtg316_14:65	going	VVG(VVG)	go
POmtg316_14:66	to	TO(TO)	to
POmtg316_14:67	be	VB(VB)	be
POmtg316_14:68	divided	VVN(VVN)	divide
POmtg316_14:69	among	IN(IN)	among
POmtg316_14:70	the	DT(DT)	the
POmtg316_14:71	participating	VVG(NNS)/VVG(VVG)	participate/participating
POmtg316_14:72	institutions	NNS(NNS)	institution

POmtg316_15:1	mhm	RE(RE)	mhm
POmtg316_15:2	_0	PA(PA)	

POmtg316_16:1	or	CC(CC)	or
POmtg316_16:2	what	WP(WP)	what
POmtg316_16:3	what	WP(WP)	what
POmtg316_16:4	should	MD(MD)	shall
POmtg316_16:5	be	VB(VB)	be
POmtg316_16:6	the	DT(DT)	the
POmtg316_16:7	_0	PA(PA)	
POmtg316_16:8	contribution	NN(NN)	contribution
POmtg316_16:9	_0	PA(PA)	
POmtg316_16:10	of	IN(IN)	of
POmtg316_16:11	each	DT(DT)	each
POmtg316_16:12	participating	JJ(JJ)	participating
POmtg316_16:13	institution	NN(NN)	institution
POmtg316_16:14	as	RB(RB)	as
POmtg316_16:15	far	RB(RB)	far
POmtg316_16:16	as	IN(IN)	as
POmtg316_16:17	their	PP$(PP$)	they
POmtg316_16:18	expertise	NN(NN)	expertise
POmtg316_16:19	is	VBZ(VBZ)	be
POmtg316_16:20	concerned	VVN(VVN)	concern
POmtg316_16:21	_2	PA(PA)	
POmtg316_16:22	the	DT(DT)	the
POmtg316_16:23	second	JJ(JJ)	second
POmtg316_16:24	er	UH(UH)	er
POmtg316_16:25	batch	NN(NN)	batch
POmtg316_16:26	_0	PA(PA)	
POmtg316_16:27	of	IN(IN)	of
POmtg316_16:28	questions	NNS(NNS)	question
POmtg316_16:29	to	TO(TO)	to
POmtg316_16:30	be	VB(VB)	be
POmtg316_16:31	asked	VVN(VVN)	ask
POmtg316_16:32	_0	PA(PA)	
POmtg316_16:33	er	UH(UH)	er
POmtg316_16:34	refer	VVP(VVP)	refer
POmtg316_16:35	to	IN(IN)	to
POmtg316_16:36	curriculum	NN(NN)	curriculum
POmtg316_16:37	structure	NN(NN)	structure
POmtg316_16:38	and	CC(CC)	and
POmtg316_16:39	content	NN(NN)	content
POmtg316_16:40	_2	PA(PA)	
POmtg316_16:41	and	CC(CC)	and
POmtg316_16:42	er	UH(UH)	er
POmtg316_16:43	_0	PA(PA)	
POmtg316_16:44	the	DT(DT)	the
POmtg316_16:45	questions	NNS(NNS)	question
POmtg316_16:46	that	PRE(PRE)	that
POmtg316_16:47	we	PP(PP)	we
POmtg316_16:48	have	VHP(VHP)	have
POmtg316_16:49	arrived	VVN(VVN)	arrive
POmtg316_16:50	er	UH(UH)	er
POmtg316_16:51	at	IN(IN)	at
POmtg316_16:52	n-	XX(XX)	
POmtg316_16:53	n-	XX(XX)	
POmtg316_16:54	not	RB(RB)	not
POmtg316_16:55	in	IN(IN)	in
POmtg316_16:56	the	DT(DT)	the
POmtg316_16:57	chronological	JJ(JJ)	chronological
POmtg316_16:58	order	NN(NN)	order
POmtg316_16:59	but	CC(CC)	but
POmtg316_16:60	as	IN(IN)	as
POmtg316_16:61	they	PP(PP)	they
POmtg316_16:62	_0	PA(PA)	
POmtg316_16:63	have	VHP(VHP)	have
POmtg316_16:64	er	UH(UH)	er
POmtg316_16:65	_0	PA(PA)	
POmtg316_16:66	come	VVN(VVN)	come
POmtg316_16:67	up	RP(RP)	up
POmtg316_16:68	in	IN(IN)	in
POmtg316_16:69	the	DT(DT)	the
POmtg316_16:70	_1	PA(PA)	
POmtg316_16:71	discussion	NN(NN)	discussion
POmtg316_16:72	_0	PA(PA)	
POmtg316_16:73	er	UH(UH)	er
POmtg316_16:74	_0	PA(PA)	
POmtg316_16:75	what	WP(WP)	what
POmtg316_16:76	does	VVZ(VVZ)	do
POmtg316_16:77	the	DT(DT)	the
POmtg316_16:78	_0	PA(PA)	
POmtg316_16:79	curriculum	NN(NN)	curriculum
POmtg316_16:80	look	VV(VV)	look
POmtg316_16:81	like	IN(IN)	like
POmtg316_16:82	or	CC(CC)	or
POmtg316_16:83	what	WP(WP)	what
POmtg316_16:84	is	VBZ(VBZ)	be
POmtg316_16:85	what	WP(WP)	what
POmtg316_16:86	is	VBZ(VBZ)	be
POmtg316_16:87	it	PP(PP)	it
POmtg316_16:88	going	VVG(VVG)	go
POmtg316_16:89	to	TO(TO)	to
POmtg316_16:90	look	VV(VV)	look
POmtg316_16:91	like	IN(IN)	like
POmtg316_16:92	what	WP(WP)	what
POmtg316_16:93	is	VBZ(VBZ)	be
POmtg316_16:94	the	DT(DT)	the
POmtg316_16:95	proportion	NN(NN)	proportion
POmtg316_16:96	of	IN(IN)	of
POmtg316_16:97	obligatory	JJ(JJ)	obligatory
POmtg316_16:98	optional	JJ(JJ)	optional
POmtg316_16:99	and	CC(CC)	and
POmtg316_16:100	elective	JJ(JJ)	elective
POmtg316_16:101	er	UH(UH)	er
POmtg316_16:102	courses	NNS(NNS)	course
POmtg316_16:103	_0	PA(PA)	
POmtg316_16:104	or	CC(CC)	or
POmtg316_16:105	modules	NNS(NNS)	module
POmtg316_16:106	_1	PA(PA)	
POmtg316_16:107	the	DT(DT)	the
POmtg316_16:108	length	NN(NN)	length
POmtg316_16:109	of	IN(IN)	of
POmtg316_16:110	the	DT(DT)	the
POmtg316_16:111	pro-	XX(XX)	
POmtg316_16:112	what	WP(WP)	what
POmtg316_16:113	is	VBZ(VBZ)	be
POmtg316_16:114	the	DT(DT)	the
POmtg316_16:115	length	NN(NN)	length
POmtg316_16:116	of	IN(IN)	of
POmtg316_16:117	the	DT(DT)	the
POmtg316_16:118	program	NN(NN)	program
POmtg316_16:119	_1	PA(PA)	
POmtg316_16:120	er	UH(UH)	er
POmtg316_16:121	what	WP(WP)	what
POmtg316_16:122	is	VBZ(VBZ)	be
POmtg316_16:123	the	DT(DT)	the
POmtg316_16:124	_1	PA(PA)	
POmtg316_16:125	length	NN(NN)	length
POmtg316_16:126	extent	NN(NN)	extent
POmtg316_16:127	and	CC(CC)	and
POmtg316_16:128	weights	NNS(NNS)	weight
POmtg316_16:129	of	IN(IN)	of
POmtg316_16:130	the	DT(DT)	the
POmtg316_16:131	_0	PA(PA)	
POmtg316_16:132	thesis	NN(NN)	thesis
POmtg316_16:133	_4	PA(PA)	
POmtg316_16:134	erm	UH(UH)	erm
POmtg316_16:135	what	WP(WP)	what
POmtg316_16:136	is	VBZ(VBZ)	be
POmtg316_16:137	the	DT(DT)	the
POmtg316_16:138	proportion	NN(NN)	proportion
POmtg316_16:139	of	IN(IN)	of
POmtg316_16:140	the	DT(DT)	the
POmtg316_16:141	existing	JJ(JJ)	existing
POmtg316_16:142	modules	NNS(NNS)	module
POmtg316_16:143	er	UH(UH)	er
POmtg316_16:144	towards	IN(IN)	towards
POmtg316_16:145	er	UH(UH)	er
POmtg316_16:146	the	DT(DT)	the
POmtg316_16:147	new	JJ(JJ)	new
POmtg316_16:148	modules	NNS(NNS)	module
POmtg316_16:149	which	PRE(PRE)	which
POmtg316_16:150	have	VHP(VHP)	have
POmtg316_16:151	been	VBN(VBN)	be
POmtg316_16:152	created	VVN(VVN)	create
POmtg316_16:153	e-	XX(XX)	
POmtg316_16:154	_0	PA(PA)	
POmtg316_16:155	-specially	XX(XX)	
POmtg316_16:156	for	IN(IN)	for
POmtg316_16:157	the	DT(DT)	the
POmtg316_16:158	purpose	NN(NN)	purpose
POmtg316_16:159	of	IN(IN)	of
POmtg316_16:160	this	DT(DT)	this
POmtg316_16:161	particular	JJ(JJ)	particular
POmtg316_16:162	joint	JJ(JJ)	joint
POmtg316_16:163	_0	PA(PA)	
POmtg316_16:164	program	NN(NN)	program
POmtg316_16:165	_2	PA(PA)	
POmtg316_16:166	er	UH(UH)	er
POmtg316_16:167	in	IN(IN)	in
POmtg316_16:168	the	DT(DT)	the
POmtg316_16:169	context	NN(NN)	context
POmtg316_16:170	of	IN(IN)	of
POmtg316_16:171	the	DT(DT)	the
POmtg316_16:172	thesis	NN(NN)	thesis
POmtg316_16:173	also	RB(RB)	also

POmtg316_17:1	_0	PA(PA)	

POmtg316_18:1	how	WRB(WRB)	how
POmtg316_18:2	is	VBZ(VBZ)	be
POmtg316_18:3	the	DT(DT)	the
POmtg316_18:4	thesis	NN(NN)	thesis
POmtg316_18:5	going	VVG(VVG)	go
POmtg316_18:6	to	TO(TO)	to
POmtg316_18:7	be	VB(VB)	be
POmtg316_18:8	supervised	VVN(VVN)	supervise
POmtg316_18:9	how	WRB(WRB)	how
POmtg316_18:10	_0	PA(PA)	
POmtg316_18:11	what	WP(WP)	what
POmtg316_18:12	are	VBP(VBP)	be
POmtg316_18:13	the	DT(DT)	the
POmtg316_18:14	assessment	NN(NN)	assessment
POmtg316_18:15	crite-	XX(XX)	
POmtg316_18:16	criteria	NNS(NNS)	criterion
POmtg316_18:17	and	CC(CC)	and
POmtg316_18:18	_0	PA(PA)	
POmtg316_18:19	er	UH(UH)	er
POmtg316_18:20	methods	NNS(NNS)	method
POmtg316_18:21	_0	PA(PA)	

POmtg316_19:1	hhh	BR(BR)	
POmtg316_19:2	_1	PA(PA)	

POmtg316_20:1	erm	UH(UH)	erm
POmtg316_20:2	_2	PA(PA)	
POmtg316_20:3	will	MD(MD)	will
POmtg316_20:4	there	EX(EX)	there
POmtg316_20:5	be	VB(VB)	be
POmtg316_20:6	any	DT(DT)	any
POmtg316_20:7	_0	PA(PA)	
POmtg316_20:8	internships	NNS(NNS)	internship
POmtg316_20:9	or	CC(CC)	or
POmtg316_20:10	place-	XX(XX)	
POmtg316_20:11	placements	NNS(NNS)	placement
POmtg316_20:12	_0	PA(PA)	
POmtg316_20:13	er	UH(UH)	er
POmtg316_20:14	provided	IN(IN)/VVN(VVN)	provide
POmtg316_20:15	_0	PA(PA)	
POmtg316_20:16	what	WDT(WDT)	what
POmtg316_20:17	courses	NNS(NNS)	course
POmtg316_20:18	are	VBP(VBP)	be
POmtg316_20:19	to	TO(TO)	to
POmtg316_20:20	be	VB(VB)	be
POmtg316_20:21	offered	VVN(VVN)	offer
POmtg316_20:22	and	CC(CC)	and
POmtg316_20:23	who	WP(WP)	who
POmtg316_20:24	will	MD(MD)	will
POmtg316_20:25	offer	VV(VV)	offer
POmtg316_20:26	them	PP(PP)	they
POmtg316_20:27	who	WP(WP)	who
POmtg316_20:28	will	MD(MD)	will
POmtg316_20:29	be	VB(VB)	be
POmtg316_20:30	_0	PA(PA)	
POmtg316_20:31	who	WP(WP)	who
POmtg316_20:32	will	MD(MD)	will
POmtg316_20:33	teach	VV(VV)	teach
POmtg316_20:34	the	DT(DT)	the
POmtg316_20:35	courses	NNS(NNS)	course
POmtg316_20:36	_1	PA(PA)	
POmtg316_20:37	er	UH(UH)	er
POmtg316_20:38	_1	PA(PA)	
POmtg316_20:39	what	WDT(WDT)	what
POmtg316_20:40	teaching	VVG(NNS)	teach/teaching
POmtg316_20:41	methods	NNS(NNS)	method
POmtg316_20:42	will	MD(MD)	will
POmtg316_20:43	be	VB(VB)	be
POmtg316_20:44	applied	VVN(VVN)	applY
POmtg316_20:45	_2	PA(PA)	
POmtg316_20:46	erm	UH(UH)	erm
POmtg316_20:47	_3	PA(PA)	
POmtg316_20:48	next	JJ(JJ)	next
POmtg316_20:49	whether	IN(IN)	whether
POmtg316_20:50	the	DT(DT)	the
POmtg316_20:51	p_e-learning	PVC(NN)/PVC(VVG)	
POmtg316_20:52	method	NN(NN)	method
POmtg316_20:53	will	MD(MD)	will
POmtg316_20:54	be	VB(VB)	be
POmtg316_20:55	used	VVN(VVN)	use
POmtg316_20:56	_0	PA(PA)	
POmtg316_20:57	will	MD(MD)	will
POmtg316_20:58	there	EX(EX)	there
POmtg316_20:59	be	VB(VB)	be
POmtg316_20:60	_0	PA(PA)	
POmtg316_20:61	x	UNI(UNI)	
POmtg316_20:62	courses	NNS(NNS)	course
POmtg316_20:63	_0	PA(PA)	
POmtg316_20:64	or	CC(CC)	or
POmtg316_20:65	intensive	JJ(JJ)	intensive
POmtg316_20:66	courses	NNS(NNS)	course
POmtg316_20:67	or	CC(CC)	or
POmtg316_20:68	summer	NNS(NNS)	summer
POmtg316_20:69	schools	NNS(NNS)	school

POmtg316_21:1	_0	PA(PA)	

POmtg316_22:1	is	VBZ(VBZ)	be
POmtg316_22:2	there	EX(EX)	there
POmtg316_22:3	an	DT(DT)	a
POmtg316_22:4	educational	JJ(JJ)	educational
POmtg316_22:5	platform	NN(NN)	platform
POmtg316_22:6	_0	PA(PA)	
POmtg316_22:7	and	CC(CC)	and
POmtg316_22:8	who	WP(WP)	who
POmtg316_22:9	is	VBZ(VBZ)	be
POmtg316_22:10	running	VVG(VVG)	run
POmtg316_22:11	it	PP(PP)	it
POmtg316_22:12	_0	PA(PA)	
POmtg316_22:13	who	WP(WP)	who
POmtg316_22:14	will	MD(MD)	will
POmtg316_22:15	offer	VV(VV)	offer
POmtg316_22:16	it	PP(PP)	it
POmtg316_22:17	as	IN(IN)	as
POmtg316_22:18	a	DT(DT)	a
POmtg316_22:19	_0	PA(PA)	
POmtg316_22:20	part	NN(NN)	part

POmtg316_23:1	_0	PA(PA)	

POmtg316_24:1	of	IN(IN)	of
POmtg316_24:2	the	DT(DT)	the
POmtg316_24:3	_0	PA(PA)	
POmtg316_24:4	erm	UH(UH)	erm
POmtg316_24:5	_0	PA(PA)	

POmtg316_26:1	of	IN(IN)	of
POmtg316_26:2	the	DT(DT)	the
POmtg316_26:3	what	WDT(WDT)	what
POmtg316_26:4	teaching	VVG(NN)	teach/teaching
POmtg316_26:5	_0	PA(PA)	
POmtg316_26:6	tool	NN(NN)	tool
POmtg316_26:7	_4	PA(PA)	
POmtg316_26:8	what	WP(WP)	what
POmtg316_26:9	are	VBP(VBP)	be
POmtg316_26:10	the	DT(DT)	the
POmtg316_26:11	assessment	NN(NN)	assessment
POmtg316_26:12	methods	NNS(NNS)	method
POmtg316_26:13	and	CC(CC)	and
POmtg316_26:14	grading	VVG(NNS)	grade/grading
POmtg316_26:15	schemes	NNS(NNS)	scheme
POmtg316_26:16	_3	PA(PA)	

POmtg316_28:1	and	CC(CC)	and
POmtg316_28:2	then	RB(RB)	then
